MY_RANK ; NOME ; PUBMED ; SCORE
0 ; d1.txt ; 0 ; 0.136950525859
1 ; d3.txt ; 2 ; 0.130314587238
2 ; d9.txt ; 8 ; 0.126343573421
3 ; d13.txt ; 12 ; 0.126343573421
4 ; d14.txt ; 13 ; 0.121759374399
5 ; d17.txt ; 16 ; 0.121759374399
6 ; d8.txt ; 7 ; 0.116337417757
7 ; d20.txt ; 19 ; 0.116337417757
8 ; d4.txt ; 3 ; 0.109701479135
9 ; d6.txt ; 5 ; 0.109701479135
10 ; d2.txt ; 1 ; 0.101146266296
11 ; d5.txt ; 4 ; 0.101146266296
12 ; d7.txt ; 6 ; 0.101146266296
13 ; d11.txt ; 10 ; 0.101146266296
14 ; d15.txt ; 14 ; 0.101146266296
15 ; d16.txt ; 15 ; 0.101146266296
16 ; d18.txt ; 17 ; 0.101146266296
17 ; d10.txt ; 9 ; 0.0890883710325
18 ; d19.txt ; 18 ; 0.0890883710325
19 ; d12.txt ; 11 ; 0.0
